Model,n_dim,Accuracy,Training_Time
LightGBM_default (GPU),10,0.76,0.4108145236968994
LightGBM_improved (GPU),10,0.75,0.411052942276001
YDF_SPORF(CPU),10,0.81,0.44104743003845215
YDF_default (CPU),10,0.795,0.03551483154296875
LightGBM_default (GPU),50,0.755,0.43137025833129883
LightGBM_improved (GPU),50,0.83,0.4269249439239502
YDF_SPORF(CPU),50,0.77,0.4555833339691162
YDF_default (CPU),50,0.79,0.05351543426513672
LightGBM_default (GPU),100,0.755,0.4585154056549072
LightGBM_improved (GPU),100,0.775,0.44591546058654785
YDF_SPORF(CPU),100,0.77,0.524965763092041
YDF_default (CPU),100,0.82,0.07051610946655273
LightGBM_default (GPU),200,0.73,0.5325286388397217
LightGBM_improved (GPU),200,0.765,0.48858642578125
YDF_SPORF(CPU),200,0.795,0.6000955104827881
YDF_default (CPU),200,0.82,0.0845189094543457
LightGBM_default (GPU),400,0.77,0.6986579895019531
LightGBM_improved (GPU),400,0.795,0.5982000827789307
YDF_SPORF(CPU),400,0.79,0.7441997528076172
YDF_default (CPU),400,0.805,0.11351966857910156
LightGBM_default (GPU),800,0.74,0.949378252029419
LightGBM_improved (GPU),800,0.79,0.7552125453948975
YDF_SPORF(CPU),800,0.84,1.0047011375427246
YDF_default (CPU),800,0.815,0.15502262115478516
LightGBM_default (GPU),1600,0.73,1.7012081146240234
LightGBM_improved (GPU),1600,0.775,1.2234697341918945
YDF_SPORF(CPU),1600,0.815,1.3845601081848145
YDF_default (CPU),1600,0.805,0.2371048927307129
LightGBM_default (GPU),3200,0.74,2.820326566696167
LightGBM_improved (GPU),3200,0.785,1.9024639129638672
YDF_SPORF(CPU),3200,0.75,2.2913308143615723
YDF_default (CPU),3200,0.765,0.37545299530029297
LightGBM_default (GPU),6400,0.73,5.518433094024658
LightGBM_improved (GPU),6400,0.785,3.539029598236084
YDF_SPORF(CPU),6400,0.76,4.022567272186279
YDF_default (CPU),6400,0.73,0.7207901477813721
LightGBM_default (GPU),9600,0.71,8.23245096206665
LightGBM_improved (GPU),9600,0.765,5.283483505249023
YDF_SPORF(CPU),9600,0.68,5.773335695266724
YDF_default (CPU),9600,0.685,1.0786266326904297
LightGBM_default (GPU),12800,0.725,11.407752275466919
LightGBM_improved (GPU),12800,0.72,7.374918222427368
YDF_SPORF(CPU),12800,0.655,7.8139448165893555
YDF_default (CPU),12800,0.67,1.4237525463104248
LightGBM_default (GPU),25600,0.73,22.36449122428894
LightGBM_improved (GPU),25600,0.73,14.277477979660034
YDF_SPORF(CPU),25600,0.61,15.530417919158936
YDF_default (CPU),25600,0.71,3.0053579807281494
LightGBM_default (GPU),30000,0.73,26.6933376789093
LightGBM_improved (GPU),30000,0.75,17.754292249679565
YDF_SPORF(CPU),30000,0.655,17.609262228012085
YDF_default (CPU),30000,0.645,3.660757303237915
LightGBM_default (GPU),40000,0.72,35.67575669288635
LightGBM_improved (GPU),40000,0.73,23.09943675994873
YDF_SPORF(CPU),40000,0.6,23.944244861602783
YDF_default (CPU),40000,0.575,5.591838359832764
LightGBM_default (GPU),51200,0.715,46.46080231666565
LightGBM_improved (GPU),51200,0.725,31.311825037002563
YDF_SPORF(CPU),51200,0.49,6.37275505065918
YDF_default (CPU),51200,0.565,7.141317129135132
